2121    64	117	0.29	4.47213595499958	82.7647267862342	116.565051177077	115.0168934781
2128	42	101	0.548	14.2126704035518	165.051507112173	140.710593137499	147.369061525925
2128	42	101	0.707	14.2126704035518	165.051507112173	140.710593137499	147.369061525925
2130	42	101	0.31	11.3137084989847	127.561749752815	45.000	            41.1859251657096
2130	42	101	0.419	11.3137084989847	127.561749752815	45.000	            41.1859251657096
2130	88	165	0.351	17.0293863659264	211.645930742832	40.2363583092738	39.6322631528438
2130	88	165	0.461	17.0293863659264	211.645930742832	40.2363583092738	39.6322631528438
2131	42	101	0.201	0.000	            21.0237960416286    	0.000	            177.273689006093
2131	42	101	0.231	0.000	            21.0237960416286	    0.000	            177.273689006093
2131	86	165	0.336	25.0599281722833	270.484750032233	28.6104596659652	42.0029574197163
2131	86	165	0.451	25.0599281722833	270.484750032233	28.6104596659652	42.0029574197163
2132	115	153	0.266	27.7848879788996	414.692657277651	30.2564371635292	30.5846336649154
2132	42	101	0.481	18.8679622641132	274.885430679765	32.0053832080834	32.8228918772692
2132	42	101	0.62	18.8679622641132	274.885430679765	32.0053832080834	32.8228918772692
2132	85	165	0.396	25.298221281347 	432.4835256978	    71.5650511770779	    76.7670659154997
2132	85	165	0.524	25.298221281347	    432.4835256978	    71.5650511770779	    76.7670659154997
2133	117	153	0.325	43.1740662898458	619.317366137911	103.392497753751	111.303197873738
2133	42	101	0.256	43.5660418215839	521.536192416211	99.2461127455632	85.6012946450044
2133	42	101	0.325	43.5660418215839	521.536192416211	99.2461127455632	85.6012946450044
2133	85	167	0.916	26.5706605111728	448.325774409636	70.201123645475	    78.9407036329335
2133	85	167	1.211	26.5706605111728	448.325774409636	70.201123645475	    78.9407036329335
2134	118	154	0.523	22.0907220343745	369.220801147497	174.805571092265	167.168220957469
2134	42	101	1.241	46.3249392876018	627.15388861108	    76.2637316943774	    67.4012177614875
2134	42	101	1.799	46.3249392876018	627.15388861108	    76.2637316943774 	67.4012177614875
2134	84	167	0.992	75.8023746329889	1252.35857484987	126.416378519886	128.581213269761
2134	84	167	1.316	75.8023746329889	1252.35857484987	126.416378519886	128.581213269761
2135	42	101	0.402	46.518813398452	    646.066560038514	    64.5366549381284	    66.1725786194295
2135	42	101	0.517	46.518813398452 	646.066560038514	64.5366549381284	66.1725786194295
2135	81	168	0.378	21.0237960416286	405.408436024708	177.273689006093	18.7031018393654
2135	81	168	0.511	21.0237960416286	405.408436024708	177.273689006093	18.7031018393654
2140	42	103	0.24	98.9949493661166	1386.85038847022	81.869897645844	    83.1670712229273
2140	42	103	0.306	98.9949493661166	1386.85038847022	81.869897645844	    83.1670712229273
2141	44	103	0.211	70.2566722810011	1040.64307041367	85.1009075462122	85.2043520516029
2141	73	169	0.416	27.0185121722125	522.404058177193	141.009005957494	128.471392319032
2141	73	169	0.546	27.0185121722125	522.404058177193	141.009005957494	128.471392319032
2142	44	104	0.234	51.478150704935   	777.475401540138	60.9453959009228	70.3065180285615
2142	44	104	0.286	51.478150704935	    777.475401540138	    60.9453959009228	    70.3065180285615
2142	71	169	0.285	22.8035085019827	244.80604567698  	164.744881296942	155.633524252158
2142	71	169	0.355	22.8035085019827	244.80604567698	    164.744881296942	    155.633524252158
2153	56	112	0.221	223.503914954526	3640.84880213392	86.1518205390749	87.7332909771345
2156	137	167	0.42	48.3321838943782	775.996134010988	24.4439547804165	27.39058164752
2159	139	169	0.366	7.21110255092797	184.694342089843	123.690067525979	162.349875780069
2200    139	169	0.3	    5.09901951359278	    88.0908621821809   	101.30993247402	    129.472459848343
